race_id,race_number,date_course,horse_id,target_rank,hippodrome,distance,weather_temperature,age,sex,shoeing_status,driver,entraineur,gains_carriere,cote_matin,avg_red_km_last_5,nb_races_last_5,nb_dai_last_5,avg_place_last_5,days_since_last_race,is_debutant
7687,4,2025-09-28,27269,8,SON,2650,23.0,7,MALES,,A. VALLS,M. ADROVER S.,3478000.0,8.5,56880.0,5,4,,504.0,False
7687,4,2025-09-28,71674,3,SON,2650,23.0,10,MALES,DEFERRE_POSTERIEURS,J. FLUXA,J. POCOVI,5622100.0,32.0,7900.0,5,3,8.5,554.0,False
7687,4,2025-09-28,21451,2,SON,2650,23.0,8,MALES,,J.A. RIERA,M. ANDREU M.,5500400.0,6.8,56880.0,5,0,6.5,404.0,False
7687,4,2025-09-28,27219,7,SON,2650,23.0,9,MALES,,A. VIDAL A.,A. VIDAL A.,5071500.0,40.0,7755.0,5,2,4.333333333333333,379.0,False
7764,4,2025-09-29,89315,11,CRA,2750,14.0,3,MALES,,W. BIGEON,W. BIGEON,3292500.0,18.0,7712.5,4,0,3.0,126.0,False
7764,4,2025-09-29,41561,9,CRA,2750,14.0,3,MALES,,A. COLLETTE,P.Edouard MARY,3769000.0,9.2,7622.0,5,0,4.6,9.0,False
7764,4,2025-09-29,41531,1,CRA,2750,14.0,3,MALES,,C. DELBECQ,J. ROBERT,3783500.0,15.0,7485.0,5,2,3.0,1.0,False
7764,4,2025-09-29,6559,6,CRA,2750,14.0,3,MALES,,MARTIAL VIEL,C. BUHIGNE,4044500.0,36.0,7590.0,5,0,5.2,1.0,False
7764,4,2025-09-29,17313,3,CRA,2750,14.0,3,MALES,,L.G. RICHARD,ARNAUD DESMOTTES,4202500.0,13.0,7590.0,5,0,3.4,1.0,False
7764,4,2025-09-29,6574,8,CRA,2750,14.0,3,FEMELLES,,J. OZENNE,A.PH. GRIMAULT,4663500.0,33.0,7660.0,5,2,4.0,1.0,False
7754,2,2025-09-29,22329,6,ENG,2150,20.0,2,FEMELLES,,M. MOTTIER,Mlle C. CHASSAGNE,59000.0,23.0,7695.0,5,2,6.333333333333333,1.0,False
7782,1,2025-09-29,6102,11,CRO,2825,16.0,7,FEMELLES,,A. GARANDEAU,A. GARANDEAU,8665000.0,52.0,7570.0,5,1,5.0,1.0,False
